"Player","Season","Team","Position","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","FF","FA","F+/-","FF%","FF/60","FA/60","SF","SA","S+/-","SF%","SF/60","SA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","PENT/60","PEND/60","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO"
"Andreas Johnsson","17-18","TOR","L","3","28.4","30.32","30.57","-0.25","49.79","64.06","64.58","22.43","20.13","2.3","52.7","47.39","42.53","15.61","14.26","1.35","52.26","32.98","30.13","1.17","1.02","0.15","53.42","2.47","2.15","1.45","0.82","0.63","63.88","3.06","1.73","--","1","1","--","2.11","7.5","92.85","5.22","94.93","6.46","95.93","-1.25","-0.99","100.34","102.39","-2.05"
"Auston Matthews","17-18","TOR","C","3","48.87","44.96","36.96","8","54.88","55.2","45.38","32.3","27.74","4.56","53.8","39.66","34.06","22.42","19.99","2.43","52.86","27.53","24.54","0.84","3.65","-2.81","18.71","1.03","4.48","2.28","1.59","0.69","58.91","2.8","1.95","1","2","1","1.23","2.46","3.75","81.74","2.6","86.84","7.06","94.27","-4.46","-7.43","85.49","101.33","-15.84"
"Connor Brown","17-18","TOR","R","3","43.5","38.32","36.96","1.36","50.9","52.86","50.98","26.6","34.02","-7.42","43.88","36.69","46.92","17.55","23.38","-5.83","42.88","24.21","32.25","--","0.82","-0.82","--","--","1.13","1.27","1.61","-0.34","44.1","1.75","2.22","1","1","--","1.38","1.38","--","96.49","--","97.59","4.77","95.27","-4.77","2.32","96.49","100.04","-3.55"
"Dominic Moore","17-18","TOR","C","2","15.03","16.68","13.35","3.33","55.54","66.59","53.29","12.2","7.15","5.05","63.05","48.7","28.54","6.73","5.28","1.45","56.04","26.87","21.08","--","1.02","-1.02","--","--","4.07","0.59","0.29","0.3","67.05","2.36","1.16","--","--","--","--","--","--","80.68","--","85.73","4.84","95.94","-4.84","-10.21","80.68","100.78","-20.1"
"Jake Gardiner","17-18","TOR","D","3","69.45","78.27","51.93","26.34","60.12","67.62","44.86","58.18","39.28","18.9","59.7","50.26","33.94","41.61","26.48","15.13","61.11","35.95","22.88","2.82","2.05","0.77","57.91","2.44","1.77","3.57","1.89","1.68","65.38","3.08","1.63","1","4","3","0.86","3.46","6.78","92.26","4.85","94.78","6.14","95.19","-1.29","-0.41","99.04","101.32","-2.29"
"James Van Riemsdyk","17-18","TOR","L","3","38.03","38.13","32.01","6.12","54.36","60.16","50.5","25.09","28.89","-3.8","46.48","39.58","45.58","17.72","19.44","-1.72","47.69","27.96","30.67","--","--","--","--","--","--","1.11","1.46","-0.35","43.19","1.75","2.3","--","1","1","--","1.58","--","100","--","100","4.42","94.95","-4.42","5.05","100","99.37","0.63"
"Kasperi Kapanen","17-18","TOR","R","3","29.3","28.36","28.11","0.25","50.22","58.08","57.56","20.58","19.54","1.04","51.3","42.14","40.01","13.82","13.52","0.3","50.55","28.3","27.69","--","1.02","-1.02","--","--","2.09","1.2","0.93","0.27","56.34","2.46","1.9","--","1","1","--","2.05","--","92.46","--","94.78","5.83","95.24","-5.83","-0.46","92.46","101.07","-8.62"
"Mitch Marner","17-18","TOR","C","3","45.93","34.58","41.55","-6.97","45.42","45.17","54.28","24.71","31.55","-6.84","43.92","32.28","41.21","20.44","21.32","-0.88","48.95","26.7","27.85","4.03","1.18","2.85","77.35","5.26","1.54","1.71","1.51","0.2","53.11","2.23","1.97","2","1","-1","2.61","1.31","19.72","94.47","16.31","96.26","6.92","95.21","9.39","1.05","114.18","102.13","12.05"
"Morgan Rielly","17-18","TOR","D","3","55.25","36.65","54.96","-18.31","40.01","39.8","59.69","23.37","41.76","-18.39","35.88","25.38","45.35","19.24","29.25","-10.01","39.68","20.89","31.76","3.22","2","1.22","61.69","3.5","2.17","1.74","2.04","-0.3","46.03","1.89","2.22","2","--","-2","2.17","--","16.74","93.16","13.78","95.21","7.45","95.11","6.33","0.1","109.9","102.56","7.34"
"Nazem Kadri","17-18","TOR","C","1","12.15","7.64","13.45","-5.81","36.23","37.73","66.42","5.62","10.07","-4.45","35.82","27.75","49.73","5.63","6.57","-0.94","46.15","27.8","32.44","1.17","--","1.17","100","5.78","--","0.31","0.38","-0.07","44.93","1.53","1.88","2","4","2","9.88","19.75","20.78","100","20.82","100","5.52","96.23","15.3","3.77","120.78","101.74","19.04"
"Nikita Zaitsev","17-18","TOR","D","3","61.03","65.59","46.93","18.66","58.29","64.48","46.14","48.34","33.26","15.08","59.24","47.52","32.7","33.9","23.89","10.01","58.66","33.33","23.49","1.17","2.05","-0.88","36.34","1.15","2.02","2.99","1.91","1.08","61.02","2.94","1.88","1","4","3","0.98","3.93","3.45","91.42","2.42","93.84","6.19","94.26","-3.76","-0.42","94.87","100.44","-5.57"
"Patrick Marleau","17-18","TOR","C","3","42.97","31.25","40.48","-9.23","43.57","43.64","56.52","22","30.85","-8.85","41.63","30.72","43.08","17.74","20.41","-2.67","46.5","24.77","28.5","4.03","1.18","2.85","77.35","5.63","1.65","1.55","1.53","0.02","50.32","2.16","2.14","2","--","-2","2.79","--","22.72","94.22","18.32","96.18","7.05","95.04","11.27","1.13","116.94","102.09","14.85"
"Roman Polak","17-18","TOR","D","3","44","38.12","47.49","-9.37","44.53","51.98","64.76","27.42","38.81","-11.39","41.4","37.39","52.92","17.97","26.13","-8.16","40.75","24.5","35.63","0.84","1.81","-0.97","31.7","1.15","2.47","1.33","1.94","-0.61","40.67","1.81","2.65","1","2","1","1.36","2.73","4.67","93.07","3.06","95.34","4.85","95","-1.79","0.33","97.75","99.85","-2.1"
"Ron Hainsey","17-18","TOR","D","3","51.83","36.58","49.1","-12.52","42.69","42.35","56.84","25.83","35.95","-10.12","41.81","29.9","41.62","20.91","25.43","-4.52","45.12","24.21","29.44","4.03","2","2.03","66.83","4.67","2.32","1.84","1.67","0.17","52.42","2.13","1.93","3","1","-2","3.47","1.16","19.27","92.14","15.6","94.44","7.12","95.35","8.48","-0.92","111.41","102.48","8.93"
"Tomas Plekanec","17-18","TOR","C","3","44.4","33.2","48.01","-14.81","40.88","44.86","64.88","22.87","36.2","-13.33","38.72","30.91","48.92","19.43","25.06","-5.63","43.67","26.26","33.86","4.03","1.18","2.85","77.35","5.45","1.59","1.52","1.69","-0.17","47.35","2.05","2.28","2","--","-2","2.7","--","20.74","95.29","17.62","96.74","6.65","95.33","10.98","1.41","116.03","101.98","14.05"
"Travis Dermott","17-18","TOR","D","3","37.37","35.82","33.62","2.2","51.58","57.51","53.98","23.35","29.49","-6.14","44.19","37.49","47.35","14.07","22.3","-8.23","38.69","22.59","35.8","--","1.81","-1.81","--","--","2.91","1.06","1.68","-0.62","38.69","1.7","2.7","--","1","1","--","1.61","--","91.88","--","93.86","4.54","94.3","-4.54","-0.44","91.88","98.84","-6.96"
"Tyler Bozak","17-18","TOR","C","3","41.07","42.86","32.98","9.88","56.51","62.62","48.18","30.09","29.93","0.16","50.13","43.96","43.73","19.49","21.65","-2.16","47.37","28.47","31.63","--","--","--","--","--","--","1.56","1.65","-0.09","48.6","2.28","2.41","--","--","--","--","--","--","100","--","100","5.18","94.49","-5.18","5.51","100","99.67","0.33"
"William Nylander","17-18","TOR","C","3","41.78","45.21","33.93","11.28","57.13","64.93","48.73","32.32","23.24","9.08","58.17","46.41","33.37","22.2","17.59","4.61","55.79","31.88","25.26","2.02","2.84","-0.82","41.56","2.9","4.08","2.13","1.48","0.65","59","3.06","2.13","1","3","2","1.44","4.31","9.1","83.85","6.25","87.78","6.59","93.63","-0.34","-5.85","92.95","100.22","-7.27"
"Zach Hyman","17-18","TOR","C","3","45.37","44","37.12","6.88","54.24","58.19","49.09","31.91","28.52","3.39","52.8","42.2","37.72","21.8","21.74","0.06","50.07","28.83","28.75","0.84","3.65","-2.81","18.71","1.11","4.83","2.07","1.72","0.35","54.62","2.74","2.27","1","3","2","1.32","3.97","3.85","83.21","2.63","87.2","6.49","93.97","-3.85","-6.77","87.06","100.46","-13.39"